code_insee,commune,loyer_m2_maison,loyer_m2_appartement,nb_obs_maison,nb_obs_appartement,source,updated_at
01370,Saint-Laurent-sur-Saône,,12,0,603,Loyers (données publiques),2026-03-03T09:22:09.139Z
01376,Saint-Maurice-de-Beynost,,14,0,261,Loyers (données publiques),2026-03-03T09:22:09.139Z
01378,Saint-Maurice-de-Gourdans,12,,102,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
01384,Saint-Rambert-en-Bugey,,9,0,412,Loyers (données publiques),2026-03-03T09:22:09.139Z
01388,Saint-Trivier-de-Courtes,,9,0,153,Loyers (données publiques),2026-03-03T09:22:09.139Z
01389,Saint-Trivier-sur-Moignans,,12,0,200,Loyers (données publiques),2026-03-03T09:22:09.139Z
01399,Ségny,,22,0,408,Loyers (données publiques),2026-03-03T09:22:09.139Z
01401,Sergy,,24,0,112,Loyers (données publiques),2026-03-03T09:22:09.139Z
01407,Seyssel,,13,0,132,Loyers (données publiques),2026-03-03T09:22:09.139Z
01416,Tenay,,9,0,251,Loyers (données publiques),2026-03-03T09:22:09.139Z
01419,Thoiry,22,24,131,664,Loyers (données publiques),2026-03-03T09:22:09.139Z
01420,Thoissey,,10,0,423,Loyers (données publiques),2026-03-03T09:22:09.139Z
01427,Trévoux,11,12,110,1109,Loyers (données publiques),2026-03-03T09:22:09.139Z
01443,Villars-les-Dombes,,13,0,488,Loyers (données publiques),2026-03-03T09:22:09.139Z
01450,Villieu-Loyes-Mollon,11,13,122,105,Loyers (données publiques),2026-03-03T09:22:09.139Z
01451,Viriat,10,12,202,273,Loyers (données publiques),2026-03-03T09:22:09.139Z
01452,Virieu-le-Grand,,10,0,158,Loyers (données publiques),2026-03-03T09:22:09.139Z
01457,Vonnas,,11,0,296,Loyers (données publiques),2026-03-03T09:22:09.139Z
02018,Anizy-le-Grand,,10,0,126,Loyers (données publiques),2026-03-03T09:22:09.139Z
02028,Athies-sous-Laon,9,,122,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02059,Beautor,8,,130,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02095,Bohain-en-Vermandois,7,9,660,367,Loyers (données publiques),2026-03-03T09:22:09.139Z
02103,Boué,7,,134,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02110,Braine,,11,0,141,Loyers (données publiques),2026-03-03T09:22:09.139Z
02128,Bruyères-et-Montbérault,9,,115,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02141,La Capelle,7,10,192,118,Loyers (données publiques),2026-03-03T09:22:09.139Z
02163,Charly-sur-Marne,,12,0,353,Loyers (données publiques),2026-03-03T09:22:09.139Z
02168,Château-Thierry,9,12,456,3001,Loyers (données publiques),2026-03-03T09:22:09.139Z
02173,Chauny,8,10,804,1498,Loyers (données publiques),2026-03-03T09:22:09.139Z
02186,Chézy-sur-Marne,,12,0,164,Loyers (données publiques),2026-03-03T09:22:09.139Z
02238,Crépy,8,9,134,110,Loyers (données publiques),2026-03-03T09:22:09.139Z
02243,Crouy,,11,0,200,Loyers (données publiques),2026-03-03T09:22:09.139Z
02290,Essômes-sur-Marne,,12,0,175,Loyers (données publiques),2026-03-03T09:22:09.139Z
02304,La Fère,8,9,213,807,Loyers (données publiques),2026-03-03T09:22:09.139Z
02305,Fère-en-Tardenois,8,11,136,377,Loyers (données publiques),2026-03-03T09:22:09.139Z
02307,La Ferté-Milon,,11,0,260,Loyers (données publiques),2026-03-03T09:22:09.139Z
02334,Fresnoy-le-Grand,8,,123,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02340,Gauchy,9,,113,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02360,Villeneuve-sur-Aisne,10,,103,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02361,Guise,7,9,357,698,Loyers (données publiques),2026-03-03T09:22:09.139Z
02381,Hirson,7,9,763,1037,Loyers (données publiques),2026-03-03T09:22:09.139Z
02408,Laon,8,10,783,4230,Loyers (données publiques),2026-03-03T09:22:09.139Z
02430,Liesse-Notre-Dame,7,,122,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02468,Marle,7,9,157,183,Loyers (données publiques),2026-03-03T09:22:09.139Z
02502,Montcornet,7,10,140,121,Loyers (données publiques),2026-03-03T09:22:09.139Z
02543,Neuilly-Saint-Front,,10,0,178,Loyers (données publiques),2026-03-03T09:22:09.139Z
02555,Nogent-l'Artaud,,13,0,212,Loyers (données publiques),2026-03-03T09:22:09.139Z
02558,Le Nouvion-en-Thiérache,7,9,178,126,Loyers (données publiques),2026-03-03T09:22:09.139Z
02575,Origny-Sainte-Benoite,7,,141,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02648,Ribemont,7,,168,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02680,Saint-Gobain,8,9,116,116,Loyers (données publiques),2026-03-03T09:22:09.139Z
02684,Saint-Michel,7,,126,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02691,Saint-Quentin,8,11,3879,12224,Loyers (données publiques),2026-03-03T09:22:09.139Z
02703,Seboncourt,7,,103,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
02720,Sissonne,,9,0,114,Loyers (données publiques),2026-03-03T09:22:09.139Z
02722,Soissons,10,11,826,5086,Loyers (données publiques),2026-03-03T09:22:09.139Z
02738,Tergnier,9,9,643,525,Loyers (données publiques),2026-03-03T09:22:09.139Z
02758,Vailly-sur-Aisne,,10,0,201,Loyers (données publiques),2026-03-03T09:22:09.139Z
02789,Vervins,7,10,133,327,Loyers (données publiques),2026-03-03T09:22:09.139Z
02795,Vic-sur-Aisne,,12,0,166,Loyers (données publiques),2026-03-03T09:22:09.139Z
02805,Villeneuve-Saint-Germain,,11,0,148,Loyers (données publiques),2026-03-03T09:22:09.139Z
02810,Villers-Cotterêts,10,12,251,1374,Loyers (données publiques),2026-03-03T09:22:09.139Z
03013,Avermes,10,,109,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
03023,Bellerive-sur-Allier,10,12,360,420,Loyers (données publiques),2026-03-03T09:22:09.139Z
03036,Bourbon-l'Archambault,8,9,130,271,Loyers (données publiques),2026-03-03T09:22:09.139Z
03082,Commentry,7,9,227,836,Loyers (données publiques),2026-03-03T09:22:09.139Z
03084,Cosne-d'Allier,7,9,108,100,Loyers (données publiques),2026-03-03T09:22:09.139Z
03095,Cusset,8,11,342,1282,Loyers (données publiques),2026-03-03T09:22:09.139Z
03098,Désertines,8,10,219,410,Loyers (données publiques),2026-03-03T09:22:09.139Z
03101,Domérat,8,9,277,258,Loyers (données publiques),2026-03-03T09:22:09.139Z
03102,Dompierre-sur-Besbre,8,8,118,146,Loyers (données publiques),2026-03-03T09:22:09.139Z
03118,Gannat,8,9,381,832,Loyers (données publiques),2026-03-03T09:22:09.139Z
03128,Huriel,,8,0,108,Loyers (données publiques),2026-03-03T09:22:09.139Z
03138,Lapalisse,9,8,155,410,Loyers (données publiques),2026-03-03T09:22:09.139Z
03185,Montluçon,8,9,1528,11675,Loyers (données publiques),2026-03-03T09:22:09.139Z
03186,Montmarault,6,9,150,191,Loyers (données publiques),2026-03-03T09:22:09.139Z
03190,Moulins,8,10,520,5604,Loyers (données publiques),2026-03-03T09:22:09.139Z
03195,Néris-les-Bains,8,10,114,314,Loyers (données publiques),2026-03-03T09:22:09.139Z
03236,Saint-Germain-des-Fossés,9,10,180,235,Loyers (données publiques),2026-03-03T09:22:09.139Z
03254,Saint-Pourçain-sur-Sioule,8,9,313,939,Loyers (données publiques),2026-03-03T09:22:09.139Z
03264,Saint-Yorre,,9,0,138,Loyers (données publiques),2026-03-03T09:22:09.139Z
03275,Souvigny,,8,0,187,Loyers (données publiques),2026-03-03T09:22:09.139Z
03298,Varennes-sur-Allier,8,9,185,409,Loyers (données publiques),2026-03-03T09:22:09.139Z
03310,Vichy,10,10,692,8778,Loyers (données publiques),2026-03-03T09:22:09.139Z
03321,Yzeure,9,10,376,757,Loyers (données publiques),2026-03-03T09:22:09.139Z
04006,Allos,,14,0,137,Loyers (données publiques),2026-03-03T09:22:09.139Z
04019,Barcelonnette,,11,0,433,Loyers (données publiques),2026-03-03T09:22:09.139Z
04049,Château-Arnoux-Saint-Auban,11,11,114,534,Loyers (données publiques),2026-03-03T09:22:09.139Z
04070,Digne-les-Bains,11,13,228,3107,Loyers (données publiques),2026-03-03T09:22:09.139Z
04079,L'Escale,10,10,116,131,Loyers (données publiques),2026-03-03T09:22:09.139Z
04088,Forcalquier,,13,0,432,Loyers (données publiques),2026-03-03T09:22:09.139Z
04094,Gréoux-les-Bains,14,13,147,657,Loyers (données publiques),2026-03-03T09:22:09.139Z
04108,Malijai,11,10,108,182,Loyers (données publiques),2026-03-03T09:22:09.139Z
04111,Mane,,12,0,121,Loyers (données publiques),2026-03-03T09:22:09.139Z
04112,Manosque,13,15,629,4828,Loyers (données publiques),2026-03-03T09:22:09.139Z
04116,Les Mées,10,10,216,510,Loyers (données publiques),2026-03-03T09:22:09.139Z
04143,Oraison,12,13,382,542,Loyers (données publiques),2026-03-03T09:22:09.139Z
04149,Peyruis,,10,0,214,Loyers (données publiques),2026-03-03T09:22:09.139Z
04152,Pierrevert,13,13,175,149,Loyers (données publiques),2026-03-03T09:22:09.139Z
04166,Riez,,12,0,305,Loyers (données publiques),2026-03-03T09:22:09.139Z
04173,Saint-André-les-Alpes,,12,0,108,Loyers (données publiques),2026-03-03T09:22:09.139Z
04197,Sainte-Tulle,12,12,119,194,Loyers (données publiques),2026-03-03T09:22:09.139Z
04209,Sisteron,12,10,185,1400,Loyers (données publiques),2026-03-03T09:22:09.139Z
04230,Valensole,10,12,193,332,Loyers (données publiques),2026-03-03T09:22:09.139Z
04242,Villeneuve,12,,157,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
04244,Volonne,,10,0,220,Loyers (données publiques),2026-03-03T09:22:09.139Z
04245,Volx,12,14,168,313,Loyers (données publiques),2026-03-03T09:22:09.139Z
