code_insee,commune,prix_m2_maison,prix_m2_appartement,nb_ventes_maison,nb_ventes_appartement,source,updated_at
"175","175",1855.11,2061.54,317,88,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"250","250",2185.79,3220.39,324,74,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"449","449",2593.06,3550.77,304,93,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"312","312",2739.35,3181.82,298,93,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"547","547",2326.76,2266.29,186,204,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"188","188",2187.50,3129.03,343,46,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"251","251",2182.21,3015.15,296,91,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"242","242",1682.13,3319.85,304,81,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"239","239",1966.67,2927.91,331,52,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"156","156",2050.30,2869.65,338,44,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"255","255",1978.81,3676.47,304,77,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"341","341",2200.92,2196.43,272,109,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"606","606",1793.81,2448.98,149,229,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"248","248",1863.86,2211.67,298,79,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"219","219",2361.12,3269.94,304,70,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"247","247",2330.22,4451.79,272,101,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"292","292",1855.42,2880.00,293,79,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"180","180",1928.20,2629.63,346,23,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"373","373",1704.46,3606.06,298,69,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"338","338",2075.76,3729.17,263,104,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"305","305",1818.18,2779.17,202,163,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"431","431",2162.65,1793.10,275,89,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"274","274",2113.40,2769.84,295,69,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"381","381",1729.97,4806.25,162,202,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"276","276",1833.33,2938.42,285,76,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"430","430",1947.37,1944.44,197,161,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
